Community Area,year,month,crime_count,unemployment_rate
1.0,2020,1,317,0.03891164658634538
1.0,2020,2,294,0.03826506024096386
1.0,2020,3,255,0.04696828666287309
1.0,2020,4,194,0.03545381526104417
1.0,2020,5,249,0.037
1.0,2020,6,288,0.043282660318482144
1.0,2020,7,294,0.05503173077209917
1.0,2020,8,318,0.03893975903614458
1.0,2020,9,284,0.03798393574297189
1.0,2020,10,306,0.038602409638554214
1.0,2020,11,246,0.03691566265060241
1.0,2020,12,254,0.037140562248995986
1.0,2021,1,256,0.05735892716871541
1.0,2021,2,191,0.05428819268062117
1.0,2021,3,258,0.05038995517567006
1.0,2021,4,257,0.03722489959839358
1.0,2021,5,312,0.038771084337349396
1.0,2021,6,312,0.052064904219000036
1.0,2021,7,252,0.03708433734939759
1.0,2021,8,315,0.03885542168674699
1.0,2021,9,304,0.038546184738955824
1.0,2021,10,303,0.04606093941626531
1.0,2021,11,321,0.03902409638554217
1.0,2021,12,309,0.038686746987951805
1.0,2022,1,287,0.03806827309236948
1.0,2022,2,275,0.042914094847525286
1.0,2022,3,256,0.037196787148594375
1.0,2022,4,297,0.03834939759036145
1.0,2022,5,362,0.04129231280986758
1.0,2022,6,378,0.040626506024096384
1.0,2022,7,401,0.04127309236947791
1.0,2022,8,388,0.05750840737217529
1.0,2022,9,416,0.041694779116465866
1.0,2022,10,373,0.04279782923749201
1.0,2022,11,300,0.054254161882024955
1.0,2022,12,325,0.04369164512999287
1.0,2023,1,329,0.03924899598393574
1.0,2023,2,320,0.03899598393574297
1.0,2023,3,365,0.040261044176706826
1.0,2023,4,364,0.04023293172690763
1.0,2023,5,394,0.041076305220883534
1.0,2023,6,415,0.041666666666666664
1.0,2023,7,372,0.0404578313253012
1.0,2023,8,426,0.041975903614457834
1.0,2023,9,392,0.04102008032128514
1.0,2023,10,399,0.041216867469879515
1.0,2023,11,431,0.042116465863453814
1.0,2023,12,435,0.04222891566265061
1.0,2024,1,421,0.041835341365461846
1.0,2024,2,390,0.05446597379158052
1.0,2024,3,390,0.045874272658802444
1.0,2024,4,388,0.041147264895851327
1.0,2024,5,643,0.04807630522088353
1.0,2024,6,688,0.04934136546184739
1.0,2024,7,732,0.050578313253012055
1.0,2024,8,663,0.04863855421686747
1.0,2024,9,713,0.0582749796060873
1.0,2024,10,660,0.048554216867469885
1.0,2024,11,650,0.04827309236947791
1.0,2024,12,559,0.045714859437751006
1.0,2025,1,646,0.05547286668647218
1.0,2025,2,588,0.046530120481927714
1.0,2025,3,632,0.04776706827309237
1.0,2025,4,575,0.046164658634538155
1.0,2025,5,135,0.047629890041212285
2.0,2020,1,264,0.04778787567732082
2.0,2020,2,226,0.05783706366310759
2.0,2020,3,266,0.03747791164658634
2.0,2020,4,177,0.034975903614457834
2.0,2020,5,204,0.04299876412578806
2.0,2020,6,240,0.04796435780057207
2.0,2020,7,305,0.05143056076469023
2.0,2020,8,314,0.047841436606063374
2.0,2020,9,294,0.03826506024096386
2.0,2020,10,296,0.05476501818277138
2.0,2020,11,255,0.03716867469879518
2.0,2020,12,258,0.05914630493245564
2.0,2021,1,244,0.03685943775100402
2.0,2021,2,203,0.040369146171753405
2.0,2021,3,228,0.048582979776099204
2.0,2021,4,230,0.053424036702000556
2.0,2021,5,216,0.04034511829002068
2.0,2021,6,268,0.03836716446742221
2.0,2021,7,239,0.05901027484411623
2.0,2021,8,276,0.03806928436901611
2.0,2021,9,301,0.0588154083880388
2.0,2021,10,268,0.03753413654618474
2.0,2021,11,243,0.036831325301204816
2.0,2021,12,303,0.043271503827611024
2.0,2022,1,319,0.03896787148594377
2.0,2022,2,209,0.0565762361283692
2.0,2022,3,283,0.037955823293172694
2.0,2022,4,292,0.03820883534136546
2.0,2022,5,362,0.04017670682730924
2.0,2022,6,325,0.039136546184738955
2.0,2022,7,325,0.044909787419701135
2.0,2022,8,376,0.040570281124497995
2.0,2022,9,376,0.040570281124497995
2.0,2022,10,403,0.04132931726907631
2.0,2022,11,355,0.04593597599352437
2.0,2022,12,345,0.03969879518072289
2.0,2023,1,314,0.04118349395556778
2.0,2023,2,297,0.03834939759036145
2.0,2023,3,284,0.03798393574297189
2.0,2023,4,259,0.04919630442021161
2.0,2023,5,336,0.039445783132530124
2.0,2023,6,329,0.05300707533842896
2.0,2023,7,395,0.04110441767068273
2.0,2023,8,391,0.055563686563964126
2.0,2023,9,384,0.040795180722891566
2.0,2023,10,326,0.056316084672598674
2.0,2023,11,314,0.03882730923694779
2.0,2023,12,393,0.04448785801058352
2.0,2024,1,313,0.03879919678714859
2.0,2024,2,325,0.046489740865886205
2.0,2024,3,338,0.03950200803212851
2.0,2024,4,322,0.039052208835341364
2.0,2024,5,479,0.0504137915943493
2.0,2024,6,591,0.0466144578313253
2.0,2024,7,661,0.049100674166206
2.0,2024,8,611,0.05312652670498049
2.0,2024,9,708,0.05146159066561342
2.0,2024,10,611,0.047176706827309234
2.0,2024,11,553,0.045546184738955824
2.0,2024,12,549,0.050620459007581324
2.0,2025,1,583,0.04638955823293173
2.0,2025,2,402,0.047193653994473186
2.0,2025,3,477,0.04340963855421687
